problemTitle,language,code,id
Climbing Stairs,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = set(nums)\n        nums = sorted(nums)\n        if len(nums) >= 3:\n            return nums[len(nums)-3]\n        return nums[len(nums)-1]\n",8
Climbing Stairs,python,one = two = 1\nfor i in range(n - 1):\n temp = one \n one = one + two \n two = temp\nprint(one),9
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        one = two = 1\n        for i in range(n - 1):\n            temp = one \n            one = one + two \n            two = temp\n        return one",10
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),12
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),13
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),14
Climbing Stairs,cpp,"class Solution {\npublic:\n    int climbStairs(int n) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        int pre = 1, curr = 1;\n        for (int i = 2; i <= n; i++) {\n            int temp = curr;\n            curr = pre + curr;\n            pre = temp;\n        }\n        return curr;\n    }\n};",15
Climbing Stairs,python,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2){\n            return n;\n        }\n        int a = 1,b = 2,result = 0;\n        for(int i = 3;i<=n;i++){\n            result = a+b;\n            a = b;\n            b = result;\n        }\n        return result;\n    }\n}",17
Climbing Stairs,c,"int climbStairs(int n) {\n    int a=2,b=3;\n    if (n<=3) return n;\n    n-=3;\n    while (n--){\n        int temp=b;\n        b=a+b;\n        a=temp;\n        \n    }\n    return b;\n}\n",18
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if (n <= 3) return n;\n\n        int prev1 = 3;\n        int prev2 = 2;\n        int cur = 0;\n\n        for (int i = 3; i < n; i++) {\n            cur = prev1 + prev2;\n            prev2 = prev1;\n            prev1 = cur;\n        }\n\n        return cur;        \n    }\n},19
Climbing Stairs,java,class Solution {\n    public Object solution(Object input) {\n        int first=0;\n        int second=1;\n        int third=2;\n        if(n==1)\n        return 1;\n        if(n==2) return 2;\n        for(int i=3;i<=n;i++){\n       int     temp=third;\n            third=second+third;\n            second=temp;\n        }\n        return third;\n    }\n},20
Climbing Stairs,java,class Solution {\n    public Object solution(Object n) {\n        \n        if(n<=3) return n;\n        int prev1=2;\n        int prev2=3;\n        for(int i=3;i<n;i++){\n            int curr=prev1+prev2;\n            prev1=prev2;\n            prev2=curr;\n        }\n        return prev2;\n    }\n},21
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n<=3) return n;\n\n        int prev1=3;\n        int prev2=2;\n        int cur=0;\n\n        for(int i=3;i<n;i++){\n            cur=prev1+prev2;\n            prev2=prev1;\n            prev1=cur;\n        }\n        return cur;\n    }\n},22
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n <= 1){\n            return 1;\n        }\n        int a = 1, b = 1;\n        for(int i = 2; i <= n; i++){\n            int temp = a + b;\n            a = b;\n            b = temp;\n        }\n        return b;\n    }\n}",24
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",25
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n      if(n<=3) return n;\n      \n        int prev1 = 3;\n        int prev2 = 2;\n        int cur = 0;\n\n        for (int i = 3; i < n; i++) {\n            cur = prev1 + prev2;\n            prev2 = prev1;\n            prev1 = cur;\n        }\n\n        return cur;      \n    }\n},26
Climbing Stairs,c,"int climbStairs(int n) {\n    if (n <= 2) return n;\n    int a = 1, b = 2, c;\n    for (int i = 3; i <= n; i++) {\n        c = a + b;\n        a = b;\n        b = c;\n    }\n    return b;\n}",27
Climbing Stairs,python,"n = int(input())\nif n <= 2 :\n       return n \nnl = [0]*(n+1)\nnl[1] = 1 \nnl[2] = 2\n\n for i in range ( 3 , n+1):\n        nl[i]  = nl[i-1] +nl[i-2]\nprint(nl[n])",31
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=(int)input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",34
