problemTitle,language,code
Climbing Stairs,c,"int climbStairs(int n) {\n    int a=2,b=3;\n    if (n<=3) return n;\n    n-=3;\n    while (n--){\n        int temp=b;\n        b=a+b;\n        a=temp;\n        \n    }\n    return b;\n}\n"
Climbing Stairs,c,"int climbStairs(int n) {\n    if (n <= 2) return n;\n    int a = 1, b = 2, c;\n    for (int i = 3; i <= n; i++) {\n        c = a + b;\n        a = b;\n        b = c;\n    }\n    return b;\n}"
Climbing Stairs,c,int climbStairs(int n) {\n    if (n==1) return 1;\n    int w1=1;  \n    int w2=2;  \n\n    for (int i=3;i<=n;i++) {\n        int w3=w1+w2;\n        w1=w2;\n        w2=w3;\n    }\n    return w2;\n}\n\n
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nint climbStairs(int n) \n{\nif(n<=1) { return 1; }\nint prev=1;\nint curr=2;\nfor(int i=3;i<=n;i++)\n{ \n    int temp=curr;\n    curr=prev+curr;\n    prev=temp;\n}\nreturn curr;\n}
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nint climbStairs(int n) \n{\nif(n<=1) { return 1; }\nint prev=1;\nint curr=2;\nfor(int i=3;i<=n;i++)\n{ \n    int temp=curr;\n    curr=prev+curr;\n    prev=temp;\n}\nreturn curr;\n}
Climbing Stairs,c,int climbStairs(int n) {\n    if(n<=2){\n        return n;\n    }\n    int firststep = 1;\n    int secondstep = 2;\n    int thirdstep;\n    for(int i=3; i<=n; i++){\n        thirdstep = firststep + secondstep;\n        firststep = secondstep;\n        secondstep = thirdstep;\n        \n    }\n    return secondstep;\n\n}\n
Climbing Stairs,c,int climbStairs(int n) {\n    if(n<=2){\n        return n;\n    }\n    int firststep = 1;\n    int secondstep = 2;\n    int thirdstep;\n    for(int i=3; i<=n; i++){\n        thirdstep = firststep + secondstep;\n        firststep = secondstep;\n        secondstep = thirdstep;\n        \n    }\n    return secondstep;\n\n}\n
Climbing Stairs,c,int climbStairs(int n) {\n    if(n<=2){\n        return n;\n    }\n    int firststep = 1;\n    int secondstep = 2;\n    int thirdstep;\n    for(int i=3; i<=n; i++){\n        thirdstep = firststep + secondstep;\n        firststep = secondstep;\n        secondstep = thirdstep;\n        \n    }\n    return secondstep;\n\n}\n
Climbing Stairs,c,int climbStairs(int n) {\n    int steps[10000];\n    steps[1] = 1;\n    steps[2] = 2;\n    for (int i = 3; i <= n; i++){\n        steps[i] = steps[i - 1] + steps[i - 2];\n    }\n    return steps[n];\n}
Climbing Stairs,c,int climbStairs(int n) {\n    int steps[10000];\n    steps[1] = 1;\n    steps[2] = 2;\n    for (int i = 3; i <= n; i++){\n        steps[i] = steps[i - 1] + steps[i - 2];\n    }\n    return steps[n];\n}
Climbing Stairs,c,int climbStairs(int n) {\n    int steps[10000];\n    steps[1] = 1;\n    steps[2] = 2;\n    for (int i = 3; i <= n; i++){\n        steps[i] = steps[i - 1] + steps[i - 2];\n    }\n    return steps[n];\n}
Climbing Stairs,c,"int climbStairs(int n) {\n\n    if(n==1) \n    {\n        return 1;\n    }\n    if(n==2)\n    {\n        return 2;\n    }\n    int f=1,s=2;\n    int ans=0;\n    for(int i=3;i<=n;i++)\n    {\n        ans=f+s;\n        f=s;\n        s=ans;\n    }\n    return ans;\n    \n}"
Climbing Stairs,c,int climbStairs(int n) {\n    if(n<=2)\n    return n;\n    int dp[n+1];\n    dp[1]=1;\n    dp[2]=2;\n    for(int i=3;i<n+1;i++){\n        dp[i]=dp[i-1]+dp[i-2];\n    }\n    return dp[n];\n\n\n    \n}
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\n    int climbStairs(int n) {\n    if(n==1) return 1;\n    int arr[n];\n    arr[0]=1;\n    arr[1]=2;\n    for(int i=2;i<n;i++){\n        arr[i]=arr[i-1]+arr[i-2];\n    }\n   return arr[n-1];\n}\n}
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\nint climbStairs(int n)\n{\n    if (n == 1)\n        return 1;\n    if (n == 2)\n        return 2;\n\n    int prev1 = 1;\n    int prev2 = 2;\n    int curr;\n\n    for (int i = 3; i <= n; i++)\n    {\n        curr = prev1 + prev2;\n        prev1 = prev2;\n        prev2 = curr;\n    }\n\n    return prev2;\n}\n\n\n    \n}
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\nint climbStairs(int n)\n{\n    if (n == 1)\n        return 1;\n    if (n == 2)\n        return 2;\n\n    int prev1 = 1;\n    int prev2 = 2;\n    int curr;\n\n    for (int i = 3; i <= n; i++)\n    {\n        curr = prev1 + prev2;\n        prev1 = prev2;\n        prev2 = curr;\n    }\n\n    return prev2;\n}\n\n\n    \n}
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\nint climbStairs(int n) {\n    long sum=0,arr[46];\n    arr[0]=1,arr[1]=1;\n    for(int i=2;i<=45;i++)\n    {\n        arr[i]=0;\n        arr[i]=arr[i-1]+arr[i-2];\n        \n\n\n    }\n    return arr[n];\n}\n    \n}"
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\nint climbStairs(int n) {\n    long sum=0,arr[46];\n    arr[0]=1,arr[1]=1;\n    for(int i=2;i<=45;i++)\n    {\n        arr[i]=0;\n        arr[i]=arr[i-1]+arr[i-2];\n        \n\n\n    }\n    return arr[n];\n}\n    \n}"
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\nint climbStairs(int n) {\n    long sum=0,arr[46];\n    arr[0]=1,arr[1]=1;\n    for(int i=2;i<=45;i++)\n    {\n        arr[i]=0;\n        arr[i]=arr[i-1]+arr[i-2];\n        \n\n\n    }\n    return arr[n];\n}\n    \n}"
Climbing Stairs,c,#include <stdio.h>\n\n\nint memo[46];\n\nint climbStairs_recursive(int n) {\n    if (n <= 2) {\n        return n; \n    }\n    \n    if (memo[n] != 0) {\n        return memo[n];\n    }\n    \n       memo[n] = climbStairs_recursive(n - 1) + climbStairs_recursive(n - 2);\n    \n    return memo[n];\n}\n\n\nint climbStairs(int n) {\n    \n    for (int i = 0; i <= n; i++) {\n        memo[i] = 0;\n    }\n    return climbStairs_recursive(n);\n}
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\n     if(n==1)\n    return 1;\n    if(n==2)\n    return 2;\n    int n1=1,n2=2;\n    int ans=n1+n2;\n    for(int i=0;i<n-3;i++){\n        n1=n2;\n        n2=ans;\n        ans=n1+n2;\n    }\n    return ans;\n}"
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\n     if(n==1)\n    return 1;\n    if(n==2)\n    return 2;\n    int n1=1,n2=2;\n    int ans=n1+n2;\n    for(int i=0;i<n-3;i++){\n        n1=n2;\n        n2=ans;\n        ans=n1+n2;\n    }\n    return ans;\n}"
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nint climbStairs(int n) {\n    long int p1=1;\n    long int p2=1;\n    for(int i=0;i<n;i++)\n    {\n        long int temp=p1;\n        p1=p1+p2;\n        p2=temp;\n    }\n    return (int)p2;\n}
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() \n{\n   \n   \n    if(n==0||n==1)\n    return 1;\n     int s=1,e=1;\n    for(int i=2;i<=n;i++)\n    {\n    int t=e;\n    e=e+s;\n    s=t;\n    \n    }\n    return ;\n\n}"
