problemTitle,language,code,id
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if (n <= 3) return n;\n\n        int prev1 = 3;\n        int prev2 = 2;\n        int cur = 0;\n\n        for (int i = 3; i < n; i++) {\n            cur = prev1 + prev2;\n            prev2 = prev1;\n            prev1 = cur;\n        }\n\n        return cur;        \n    }\n},19
Climbing Stairs,java,class Solution {\n    public Object solution(Object input) {\n        int first=0;\n        int second=1;\n        int third=2;\n        if(n==1)\n        return 1;\n        if(n==2) return 2;\n        for(int i=3;i<=n;i++){\n       int     temp=third;\n            third=second+third;\n            second=temp;\n        }\n        return third;\n    }\n},20
Climbing Stairs,java,class Solution {\n    public Object solution(Object n) {\n        \n        if(n<=3) return n;\n        int prev1=2;\n        int prev2=3;\n        for(int i=3;i<n;i++){\n            int curr=prev1+prev2;\n            prev1=prev2;\n            prev2=curr;\n        }\n        return prev2;\n    }\n},21
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n<=3) return n;\n\n        int prev1=3;\n        int prev2=2;\n        int cur=0;\n\n        for(int i=3;i<n;i++){\n            cur=prev1+prev2;\n            prev2=prev1;\n            prev1=cur;\n        }\n        return cur;\n    }\n},22
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n <= 1){\n            return 1;\n        }\n        int a = 1, b = 1;\n        for(int i = 2; i <= n; i++){\n            int temp = a + b;\n            a = b;\n            b = temp;\n        }\n        return b;\n    }\n}",24
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",25
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n      if(n<=3) return n;\n      \n        int prev1 = 3;\n        int prev2 = 2;\n        int cur = 0;\n\n        for (int i = 3; i < n; i++) {\n            cur = prev1 + prev2;\n            prev2 = prev1;\n            prev1 = cur;\n        }\n\n        return cur;      \n    }\n},26
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=(int)input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",34
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=(int)input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",35
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int a = 1, b = 1;\n        for(int i=1;i<=(int)input;i++) {\n            int temp = a+b;\n            a = b;\n            b = temp;\n        }\n\n        return a;\n    }\n}",36
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        \n        int dp[] = new int[n+1];\n        dp[0]=1;\n        dp[1]=1;\n        for(int i=2 ;i<=n ; i++)\n        {\n            dp[i] = dp[i-1] + dp[i-2];\n        }\n        return dp[n];\n    }\n},37
Climbing Stairs,java,class Solution {\n    public Object solution(Object input) {\n        // TODO: Implement solution\n        return null;\n    }\n},38
Climbing Stairs,java,https://leetcode.com/problems/climbing-stairs/submissions/1907465983/,39
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n==1)return 1;\n        if(n==2)return 2;\n        long first = 1;\n        long next = 2;\n        long val =0;\n        for(int i=3;i<=n;i++)\n        {\n            val = first+next;\n            first = next;\n            next = val;\n        }\n        return (int)val;\n    }\n},46
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int arr[]= new int[n+1];\n        arr[0]=0;\n        arr[1]=1;\n        if(n==1)\n        {\n            return arr[1];\n        }\n        arr[2]=2;\n        for(int i=3;i<=n;i++)\n        {\n            arr[i]=arr[i-1]+arr[i-2];\n        }\n        return arr[n];\n\n    }\n},49
