problemTitle,language,code
Climbing Stairs,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = set(nums)\n        nums = sorted(nums)\n        if len(nums) >= 3:\n            return nums[len(nums)-3]\n        return nums[len(nums)-1]\n"
Climbing Stairs,python,one = two = 1\nfor i in range(n - 1):\n temp = one \n one = one + two \n two = temp\nprint(one)
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        one = two = 1\n        for i in range(n - 1):\n            temp = one \n            one = one + two \n            two = temp\n        return one"
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n))
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n))
Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n))
Climbing Stairs,python,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2){\n            return n;\n        }\n        int a = 1,b = 2,result = 0;\n        for(int i = 3;i<=n;i++){\n            result = a+b;\n            a = b;\n            b = result;\n        }\n        return result;\n    }\n}"
Climbing Stairs,python,"n = int(input())\nif n <= 2 :\n       return n \nnl = [0]*(n+1)\nnl[1] = 1 \nnl[2] = 2\n\n for i in range ( 3 , n+1):\n        nl[i]  = nl[i-1] +nl[i-2]\nprint(nl[n])"
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        if n <= 2 :\n            return n \n        nl = [0]*(n+1)\n        nl[1] = 1 \n        nl[2] = 2\n\n        for i in range ( 3 , n+1):\n            nl[i]  = nl[i-1] +nl[i-2]\n        return nl[n]"
Climbing Stairs,python,"class Solution(object):\n    def climbStairs(self, n):\n        """"""\n        :type n: int\n        :rtype: int\n        """"""\n        prev=1\n        prev2=0\n        for i in range(1,n+1):\n            curi=prev+prev2\n            prev2=prev\n            prev=curi\n        return prev"
Climbing Stairs,python,"if(n<=3):\n            return n\n        prev1 = 3\n        prev2 = 2\n        cur = 0\n        for i in range(4,n+1):\n            cur = prev1+prev2\n            prev2 = prev1\n            prev1 = cur\n        return cur"
Climbing Stairs,python,"if(n<=3):\n            return n\n        prev1 = 3\n        prev2 = 2\n        cur = 0\n        for i in range(4,n+1):\n            cur = prev1+prev2\n            prev2 = prev1\n            prev1 = cur\n        return cur"
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        steps = 0\n        if n == 1:\n            return 1\n        hashmap = {}\n        k = n\n        #climbing \n        def climb(k):\n            if k in hashmap:\n                return hashmap[k]\n            if k == 1:\n                return 1\n            if k == 2:\n                return 2\n            if k not in hashmap:\n                hashmap[k] = climb(k-1) + climb(k-2)\n            return climb(k-1)+climb(k-2)\n\n        steps += climb(k)\n        return steps\n\n        \n"
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        if(n==0): return 0\n        else:\n            a,b,s = 0,1,0\n            for i in range(n):\n                s = a+b\n                a = b\n                b = s\n        return s"
Climbing Stairs,python,"class Solution(object):\n    def climbStairs(self, n):\n        a,b=0,1\n        for i in range(2,n+2):\n            a,b=b,a+b\n        return b"
Climbing Stairs,python,class Solution {\n    public int climbStairs(int n) {\n        int a = 1;\n        int b = 2;\n        if(n <= 2)\n        {\n            return n;\n        }\n        else \n        {\n            for(int i=2;i<n;i++)\n            {\n                int c = a+b;\n                a = b;\n                b = c;\n            }\n            return b;\n        }\n    }\n}
