_id,userId,problemId,problemTitle,language,code,status,submittedAt,submissionId,__v
69821e1911b3d194fe175be4,69821cfbb83d3d5269ed202d,69821cfbb83d3d5269ed202f,Two Sum,python,drthbtrh,submitted,2026-02-03T16:11:05.052Z,1,0
6982b6540eaa0a8dccee5a6d,6982b5c50eaa0a8dccee55ab,698234bd2fd0434e56a60c8a,Palindrome Number,cpp,class Solution {\npublic:\n    bool isPalindrome(int x) {\n        // Negative numbers and numbers ending with 0 (except 0) are not palindromes\n        if (x < 0 || (x % 10 == 0 && x != 0))\n            return false;\n\n        int reversedHalf = 0;\n\n        // Reverse half of the number\n        while (x > reversedHalf) {\n            reversedHalf = reversedHalf * 10 + x % 10;\n            x /= 10;\n        }\n\n        // For even length: x == reversedHalf\n        // For odd length: x == reversedHalf / 10\n        return (x == reversedHalf || x == reversedHalf / 10);\n    }\n};\n,submitted,2026-02-04T03:00:36.479Z,2,0
6982b65b0eaa0a8dccee5a73,6982b5f70eaa0a8dccee595e,698234bd2fd0434e56a60c8a,Palindrome Number,java,class Solution {\n    public boolean isPalindrome(int x) {\n        \n        if (x < 0 || (x % 10 == 0 && x != 0)) {\n            return false;\n        }\n\n        int reversedHalf = 0;\n\n       \n        while (x > reversedHalf) {\n            reversedHalf = reversedHalf * 10 + x % 10;\n            x /= 10;\n        }\n\n        return x == reversedHalf || x == reversedHalf / 10;\n    }\n}\n,submitted,2026-02-04T03:00:43.724Z,3,0
6982b6640eaa0a8dccee5a79,6982b5d10eaa0a8dccee56e6,698234bd2fd0434e56a60c8a,Palindrome Number,cpp,class Solution {\npublic:\n    bool isPalindrome(int x) {\n        // Negative numbers or numbers ending with 0 (except 0) are not palindromes\n        if (x < 0 || (x % 10 == 0 && x != 0))\n            return false;\n\n        int reversedHalf = 0;\n\n        // Reverse only half of the number\n        while (x > reversedHalf) {\n            reversedHalf = reversedHalf * 10 + x % 10;\n            x /= 10;\n        }\n\n        // For even length: x == reversedHalf\n        // For odd length: x == reversedHalf / 10 (remove middle digit)\n        return (x == reversedHalf || x == reversedHalf / 10);\n    }\n};\n,submitted,2026-02-04T03:00:52.393Z,4,0
6982b6750eaa0a8dccee5a87,6982b57f0eaa0a8dccee546a,698234bd2fd0434e56a60c8a,Palindrome Number,python,def isPalindrome(x: int) -> bool:\n   \n    if x < 0 or (x % 10 == 0 and x != 0):\n        return False\n\n    reversed_half = 0\n\n    \n    while x > reversed_half:\n        reversed_half = reversed_half * 10 + x % 10\n        x //= 10\n\n   \n    return x == reversed_half or x == reversed_half // 10\n,submitted,2026-02-04T03:01:09.328Z,5,0
6982b68c0eaa0a8dccee5a8d,6982b5710eaa0a8dccee53f6,698234bd2fd0434e56a60c8a,Palindrome Number,python,def isPalindrome(x: int) -> bool:\n    # Negative numbers are not palindromes\n    if x < 0:\n        return False\n    \n    # Convert to string and check if it reads same forwards and backwards\n    s = str(x)\n    return s == s[::-1],submitted,2026-02-04T03:01:32.467Z,6,0
6982b6f40eaa0a8dccee5afa,6982b56d0eaa0a8dccee53f0,698234bd2fd0434e56a60c8a,Palindrome Number,python,"\nx = int(input().strip())\n\n\ndef is_palindrome(x: int) -> bool:\n    if x < 0:\n        return False\n    \n    original, rev = x, 0\n    while original > 0:\n        rev = rev * 10 + original % 10\n        original //= 10\n    \n    return x == rev\n\n\nprint(""true"" if is_palindrome(x) else ""false"")\n",submitted,2026-02-04T03:03:16.032Z,7,0
6982c8591ce3d38f23ae7fef,6982c6be313f449218208457,698234bd2fd0434e56a60d41,Climbing Stairs,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = set(nums)\n        nums = sorted(nums)\n        if len(nums) >= 3:\n            return nums[len(nums)-3]\n        return nums[len(nums)-1]\n",submitted,2026-02-04T04:17:29.322Z,8,0
6982c88e1ce3d38f23ae8022,6982c744313f4492182086c3,698234bd2fd0434e56a60d41,Climbing Stairs,python,one = two = 1\nfor i in range(n - 1):\n temp = one \n one = one + two \n two = temp\nprint(one),submitted,2026-02-04T04:18:22.728Z,9,0
6982c8c6503a1536cfa61d88,6982c744313f4492182086c3,698234bd2fd0434e56a60d41,Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        one = two = 1\n        for i in range(n - 1):\n            temp = one \n            one = one + two \n            two = temp\n        return one",submitted,2026-02-04T04:19:18.181Z,10,0
6982c8cd98be081303a0d3d6,6982c744313f4492182086c3,698234bd2fd0434e56a6111b,Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        x = list(sorted(set(nums)))\n        return x[-3] if len(x) >= 3 else x[-1]",submitted,2026-02-04T04:19:25.705Z,11,0
6982c8cf313f4492182088ae,6982c6fe98be081303a0d214,698234bd2fd0434e56a60d41,Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),submitted,2026-02-04T04:19:27.054Z,12,0
6982c8d3a3cda63886ca116a,6982c6fe98be081303a0d214,698234bd2fd0434e56a60d41,Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),submitted,2026-02-04T04:19:31.005Z,13,0
6982c8de2e6930829d349ccc,6982c6fe98be081303a0d214,698234bd2fd0434e56a60d41,Climbing Stairs,python,n = int(input())\ndef func(n):\n  if ( n == 0 || n == 1) return 1 ;\n  return func(n-1)+func(n-2)\n\nprint( func(n)),submitted,2026-02-04T04:19:42.768Z,14,0
6982c90a2e6930829d349cd2,6982c7792e6930829d349b91,698234bd2fd0434e56a60d41,Climbing Stairs,cpp,"class Solution {\npublic:\n    int climbStairs(int n) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        int pre = 1, curr = 1;\n        for (int i = 2; i <= n; i++) {\n            int temp = curr;\n            curr = pre + curr;\n            pre = temp;\n        }\n        return curr;\n    }\n};",submitted,2026-02-04T04:20:26.561Z,15,0
