problemTitle,language,code
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long maxOne = Long.MIN_VALUE;\n        long maxTwo = Long.MIN_VALUE;\n        long maxThree = Long.MIN_VALUE;\n        for (int num2:nums){\n            long num = num2;\n          if(num == maxOne || num == maxTwo || num == maxThree){\n            continue;\n          }\n            if (num>maxOne){\n                maxThree = maxTwo;\n                maxTwo = maxOne;\n                maxOne = num;\n            }\n            else if (num>maxTwo ){\n                maxThree = maxTwo;\n                maxTwo = num;\n            }\n            else  if (num>maxThree){\n                maxThree = num;\n            }\n        }\n        return (int)( (maxThree == Long.MIN_VALUE) ? maxOne:maxThree);\n        \n    }\n}
Third Maximum Number,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        int prev = 1, curr = 1;\n        for (int i = 2; i <= n; i++) {\n            int temp = curr;\n            curr = prev + curr;\n            prev = temp;\n        }\n        return curr;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        HashSet<Integer> set = new HashSet<>();\n        for(int n:nums){\n            set.add(n);\n        }\n        int[] arr = new int[set.size()];\n        int count=0;\n        for(int n:set){\n            arr[count++] = n;\n        }\n        Arrays.sort(arr);\n        int len = arr.length-1;\n        if(len >= 2){\n            return arr[len-2];\n        }\n        return arr[len];\n    }\n}
Third Maximum Number,java,"class Solution {\n    public Object solution(Object n) {\n        long third=Long.MIN_VALUE,second=Long.MIN_VALUE,first=Long.MIN_VALUE;\n        for(int n:nums){\n            if(n==third || n==second || n==first){\n                continue;\n            }\n            if(n>first){\n                third=second;\n                second=first;\n                first=n;\n            }else if(n>second){\n                third=second;\n                second=n;\n            }else if( n>third){\n                third=n;\n            }\n        }\n        return third==Long.MIN_VALUE?(int)first:(int)third;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n       TreeSet<Integer> set=new TreeSet<>();\n       for(int num:nums)set.add(num);\n       List<Integer> list=new ArrayList<>(set);\n       if(list.size()>=3){\n        return list.get(list.size()-3);\n       }\n       else{\n        return list.get(list.size()-1);\n       }\n    }\n}
Third Maximum Number,java,class Solution {\n    public Object solution(Object input) {\n        long first=Long.MIN_VALUE;\n        long second=Long.MIN_VALUE;\n        long third=Long.MIN_VALUE;\n        for(int i=0;i<nums.length;i++){\n            if(nums[i]>first){\n                third=second;\n                second=first;\n                first=nums[i];\n\n            }\n      else  if(nums[i]>second && nums[i]<first){\n            third=second;\n            second=nums[i];\n\n            }\n        else if(nums[i]>third && nums[i]<second)\n            third=nums[i];\n        }\n        if(third==Long.MIN_VALUE)\n        return (int)first;\n       \n\n         return (int)third;\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      Arrays.sort(nums);\n        if(nums.length<3)\n        return nums[nums.length-1];\n        int a=1;\n        for(int i=nums.length-1;i>0;i--)\n        {\n            if(nums[i]-nums[i-1]!=0)a++;\n            if(a==3)return nums[i-1];\n        }\n        return nums[nums.length-1];   \n        \n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        int i = 0;\n        for(int indx = nums.length-2; indx >= 0; indx--){\n            if(nums[indx] != nums[indx+1]){\n                i++;\n            }\n            if(i == 2){\n                return nums[indx];\n            }\n        }\n        return nums[nums.length-1];\n    }\n}
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        int n = nums.length, cnt = 1;\n\n        for (int i = n - 1; i >= 1; i--) {\n            if (nums[i] != nums[i - 1]) \n                cnt++;\n            if (cnt == 3)\n                return nums[i - 1];\n        }\n\n        return nums[n - 1];\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        if(nums.length<=2)\n        return nums[nums.length-1];\n        int distinct=1;\n        int i;\n        for(i=nums.length-2; i>=0; i--)\n        {\n            if(nums[i]!=nums[i+1])\n            distinct++;\n\n            if(distinct==3)\n            return nums[i];\n        }\n        return nums[nums.length-1];\n    }\n}
