problemTitle,language,code
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        x = list(sorted(set(nums)))\n        return x[-3] if len(x) >= 3 else x[-1]"
Third Maximum Number,python,"class Solution(object):\n    def thirdMax(self, nums):\n        """"""\n        :type nums: List[int]\n        :rtype: int\n        """"""\n        nums=list(set(nums))\n        nums.sort()\n        if(len(nums)<3):\n            return nums[-1]\n        else:\n         return nums[-3]"
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        lst = list(set(nums))\n        lst.sort(reverse=True)\n        if(len(lst)<3):\n            return max(lst)\n        return lst[2]"
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        lst = list(set(nums))\n        lst.sort(reverse=True)\n        if(len(lst)<3):\n            return max(lst)\n        return lst[2]"
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        first = max(nums)\n        while(True):\n            if first in nums:\n                nums.remove(first)\n            else:\n                break\n\n        if(nums==[]): return first\n\n        second = max(nums)\n        while(True):\n            if second in nums:\n                nums.remove(second)\n            else:\n                break\n\n        new = 0\n        if(first > second): new = first\n        else: new = second\n\n        if(nums==[]): return new\n        third = max(nums)\n        return third\n            "
Third Maximum Number,python,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        for(int i = 0;i<nums.length/2;++i){\n            int temp = nums[i];\n            nums[i] = nums[nums.length-1-i];\n            nums[nums.length-1-i] = temp;\n        }\n        int count = 1;\n        int prev = nums[0];\n        for(int i = 1;i<nums.length;++i){\n            if(nums[i]!=prev){\n                count+=1;\n                prev = nums[i];\n            }\n            if(count==3) return nums[i];\n        }\n        return nums[0];\n    }\n}
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = sorted(set(nums))\n        if len(nums) < 3:\n            return nums[-1]\n        return nums[-3]\n"
Third Maximum Number,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        steps = 0\n        if n == 1:\n            return 1\n        hashmap = {}\n        k = n\n        #climbing \n        def climb(k):\n            if k in hashmap:\n                return hashmap[k]\n            if k == 1:\n                return 1\n            if k == 2:\n                return 2\n            if k not in hashmap:\n                hashmap[k] = climb(k-1) + climb(k-2)\n            return climb(k-1)+climb(k-2)\n\n        steps += climb(k)\n        return steps\n"
Third Maximum Number,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        steps = 0\n        if n == 1:\n            return 1\n        hashmap = {}\n        k = n\n        #climbing \n        def climb(k):\n            if k in hashmap:\n                return hashmap[k]\n            if k == 1:\n                return 1\n            if k == 2:\n                return 2\n            if k not in hashmap:\n                hashmap[k] = climb(k-1) + climb(k-2)\n            return climb(k-1)+climb(k-2)\n\n        steps += climb(k)\n        return steps\n"
Third Maximum Number,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        steps = 0\n        if n == 1:\n            return 1\n        hashmap = {}\n        k = n\n        #climbing \n        def climb(k):\n            if k in hashmap:\n                return hashmap[k]\n            if k == 1:\n                return 1\n            if k == 2:\n                return 2\n            if k not in hashmap:\n                hashmap[k] = climb(k-1) + climb(k-2)\n            return climb(k-1)+climb(k-2)\n\n        steps += climb(k)\n        return steps\n"
Third Maximum Number,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        steps = 0\n        if n == 1:\n            return 1\n        hashmap = {}\n        k = n\n        #climbing \n        def climb(k):\n            if k in hashmap:\n                return hashmap[k]\n            if k == 1:\n                return 1\n            if k == 2:\n                return 2\n            if k not in hashmap:\n                hashmap[k] = climb(k-1) + climb(k-2)\n            return climb(k-1)+climb(k-2)\n\n        steps += climb(k)\n        return steps\n"
Third Maximum Number,python,"class Solution(object):\n    def thirdMax(self, nums):\n        """"""\n        :type nums: List[int]\n        :rtype: int\n        """"""\n        nums.sort()\n        num=[]\n        for i in nums:\n            if i not in num:\n                num.extend([i])\n        if len(num)<3:\n            return num[-1]\n        return num[-3]"
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = set(nums)\n        nums = sorted(nums)\n        if len(nums) >= 3:\n            return nums[len(nums)-3]\n        return nums[len(nums)-1]\n"
Third Maximum Number,python,"int thirdMax(int* nums, int numsSize){\n    for(int i=0;i<numsSize;i++){\n        for(int j=i+1;j<numsSize;j++){\n            if(nums[i]<nums[j]){\n                int temp=nums[i];\n                nums[i]=nums[j];\n                nums[j]=temp;\n            }\n        }\n    }\n    int c=0,d=1;\n    for(int i=0;i<numsSize-1;i++){\n        if(nums[i]!=nums[i+1]){\n            d++;\n            if(d==3){\n                return nums[i+1];\n            }\n        }\n    }\n    \n    return nums[0];\n}"
Third Maximum Number,python,"int thirdMax(int* nums, int numsSize){\n    for(int i=0;i<numsSize;i++){\n        for(int j=i+1;j<numsSize;j++){\n            if(nums[i]<nums[j]){\n                int temp=nums[i];\n                nums[i]=nums[j];\n                nums[j]=temp;\n            }\n        }\n    }\n    int c=0,d=1;\n    for(int i=0;i<numsSize-1;i++){\n        if(nums[i]!=nums[i+1]){\n            d++;\n            if(d==3){\n                return nums[i+1];\n            }\n        }\n    }\n    \n    return nums[0];\n}"
Third Maximum Number,python,https://leetcode.com/problems/third-maximum-number/submissions/1907494226/
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        sets=set(nums)\n        nums=list(sets)\n        nums.sort()\n        if len(nums)<3:\n             return max(nums)\n        else:\n             return nums[-3]"
Third Maximum Number,python,"class Solution:\n    def thirdMax(self, nums: List[int]) -> int:\n        nums = sorted(set(nums))\n        if len(nums) < 3:\n            return nums[-1]\n        return nums[-3]\n"
